,name,symbol,country,has_intraday,has_eod,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
62,Apple Inc,AAPL,,False,True,181.42,181.93,178.14,178.85,51427100.0,181.6960565795,177.9109301329,178.6147,181.1867123875,51456082.0,1.0,0.0,AAPL,XNAS,2023-10-13
63,Apple Inc,AAPL,,False,True,180.07,182.34,179.04,180.71,56743100.0,182.1055293613,178.8097728247,180.4722,179.8384483498,56743119.0,1.0,0.0,AAPL,XNAS,2023-10-12
64,Apple Inc,AAPL,,False,True,178.2,179.85,177.6,179.8,47551100.0,179.6187312473,177.3716245178,179.5634,177.970852979,47551098.0,1.0,0.0,AAPL,XNAS,2023-10-11
65,Apple Inc,AAPL,,False,True,178.1,179.72,177.95,178.39,43698000.0,179.4888984141,177.7211744535,178.1553,177.8709815688,43698019.0,1.0,0.0,AAPL,XNAS,2023-10-10
66,Apple Inc,AAPL,,False,True,176.81,179.05,175.8,178.99,42390800.0,178.8197599657,175.5739391342,178.7545,176.5826403772,42390772.0,1.0,0.0,AAPL,XNAS,2023-10-09
67,Apple Inc,AAPL,,False,True,173.8,177.99,173.18,177.49,57224100.0,177.7611230176,172.9573081869,177.2565,173.5765109301,57266675.0,1.0,0.0,AAPL,XNAS,2023-10-06
68,Apple Inc,AAPL,,False,True,173.79,175.45,172.68,174.91,48527900.0,175.2243891985,172.4579511359,174.6799,173.5665237891,48527918.0,1.0,0.0,AAPL,XNAS,2023-10-05
69,Apple Inc,AAPL,,False,True,171.09,174.21,170.97,173.66,53020300.0,173.985983712,170.7501500214,173.4315,170.8699957137,53020286.0,1.0,0.0,AAPL,XNAS,2023-10-04
70,Apple Inc,AAPL,,False,True,172.26,173.63,170.82,172.4,49594600.0,173.4067295328,170.6003429061,172.1732,172.0334976425,49594613.0,1.0,0.0,AAPL,XNAS,2023-10-03
71,Apple Inc,AAPL,,False,True,171.22,174.3,170.93,173.75,52164500.0,174.0758679811,170.7102014574,173.5214,170.9998285469,52164535.0,1.0,0.0,AAPL,XNAS,2023-10-02
72,Apple Inc,AAPL,,False,True,172.02,173.07,170.34,171.21,51814200.0,172.8474496357,170.1219588513,170.9847,171.7987998285,51861083.0,1.0,0.0,AAPL,XNAS,2023-09-29
73,Apple Inc,AAPL,,False,True,169.34,172.03,167.62,170.69,56294400.0,171.8087869696,167.4044577797,170.4654,169.1222460351,56294419.0,1.0,0.0,AAPL,XNAS,2023-09-28
74,Apple Inc,AAPL,,False,True,172.62,173.04,169.05,170.43,66921800.0,172.8174882126,168.8326189456,170.2058,172.3980282898,66921808.0,1.0,0.0,AAPL,XNAS,2023-09-27
75,Apple Inc,AAPL,,False,True,174.82,175.2,171.66,171.96,64588900.0,174.974710673,171.4392627518,171.7337,174.5951993142,64588945.0,1.0,0.0,AAPL,XNAS,2023-09-26
76,Apple Inc,AAPL,,False,True,174.2,176.97,174.15,176.08,46172700.0,176.7424346335,173.9260608658,175.8483,173.9759965709,46172740.0,1.0,0.0,AAPL,XNAS,2023-09-25
77,Apple Inc,AAPL,,False,True,174.67,177.08,174.05,174.79,56725400.0,176.8512944706,173.8261894556,174.56,174.4453921989,56725385.0,1.0,0.0,AAPL,XNAS,2023-09-22
78,Apple Inc,AAPL,,False,True,174.55,176.3,173.86,173.93,63047900.0,176.0732961852,173.6364337763,173.7012,174.3255465066,63149116.0,1.0,0.0,AAPL,XNAS,2023-09-21
79,Apple Inc,AAPL,,False,True,179.26,179.7,175.4,175.49,58436200.0,179.4639305615,175.1744534934,175.2591,179.0294899271,58436181.0,1.0,0.0,AAPL,XNAS,2023-09-20
80,Apple Inc,AAPL,,False,True,177.52,179.63,177.13,179.07,51826900.0,179.3990141449,176.9022288898,178.8344,177.2917273896,51826941.0,1.0,0.0,AAPL,XNAS,2023-09-19
81,Apple Inc,AAPL,,False,True,176.48,179.38,176.17,177.97,67257600.0,179.1493356194,175.9434633519,177.7358,176.2530647235,67257573.0,1.0,0.0,AAPL,XNAS,2023-09-18
82,Apple Inc,AAPL,,False,True,176.48,176.5,173.82,175.01,109205100.0,176.2680454351,173.5964852122,174.7797,176.2530647235,109259461.0,1.0,0.0,AAPL,XNAS,2023-09-15
83,Apple Inc,AAPL,,False,True,174.0,176.1,173.58,175.74,60895800.0,175.8735533648,173.3567938277,175.5088,173.7762537505,60895757.0,1.0,0.0,AAPL,XNAS,2023-09-14
84,Apple Inc,AAPL,,False,True,176.51,177.3,173.98,174.21,84267900.0,177.0720102872,173.7562794685,173.9808,176.2830261466,84267928.0,1.0,0.0,AAPL,XNAS,2023-09-13
85,Apple Inc,AAPL,,False,True,179.49,180.13,174.82,176.3,90370200.0,179.8983711959,174.5951993142,176.068,179.2591941706,90370192.0,1.0,0.0,AAPL,XNAS,2023-09-12
