,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
208,188.28,189.98,187.61,189.7,45280000.0,189.7357051007,187.368752679,189.4504,188.0378911273,45280027.0,1.0,0.0,AAPL,XNAS,2023-09-05
209,329.0,334.85,328.66,333.55,18553859.0,334.1720195994,327.9945526699,332.8744,328.3338642622,18553859.0,1.0,0.0,MSFT,XNAS,2023-09-05
210,189.49,189.92,188.28,189.46,45732600.0,189.6757822546,188.0378911273,189.2107,189.2413416202,45766503.0,1.0,0.0,AAPL,XNAS,2023-09-01
211,331.31,331.99,326.78,328.66,14942020.0,331.3178103234,326.1183591599,327.9943,330.6391871389,14942024.0,1.0,0.0,MSFT,XNAS,2023-09-01
212,187.84,189.12,187.48,187.87,60794500.0,188.876810973,187.2389198457,187.6228,187.5984569224,60794467.0,1.0,0.0,AAPL,XNAS,2023-08-31
213,329.2,330.9099,326.78,327.76,26410949.0,330.2398972329,326.1183591599,327.0961,328.5334593165,26410954.0,1.0,0.0,MSFT,XNAS,2023-08-31
214,184.94,187.85,184.74,187.65,60813900.0,187.6084440634,184.5024432062,187.4031,184.7021860266,60813888.0,1.0,0.0,AAPL,XNAS,2023-08-30
215,328.67,329.81,326.445,328.79,15222110.0,329.142224232,325.784037444,328.124,328.0045324227,15222110.0,1.0,0.0,MSFT,XNAS,2023-08-30
216,179.7,184.9,179.5,184.12,53003900.0,184.6622374625,179.2691813116,183.8778,179.4639305615,53003948.0,1.0,0.0,AAPL,XNAS,2023-08-29
217,321.88,328.9835,321.88,328.41,19284590.0,328.3173976702,321.2282803304,327.7448,321.2282803304,19284590.0,1.0,0.0,MSFT,XNAS,2023-08-29
218,180.09,180.59,178.55,180.19,43820700.0,180.3577796828,178.3154093442,179.9529,179.8584226318,43820697.0,1.0,0.0,AAPL,XNAS,2023-08-28
219,325.66,326.15,321.722,323.7,14808480.0,325.4896347389,321.0706002376,323.0443,325.000626856,14808482.0,1.0,0.0,MSFT,XNAS,2023-08-28
